hospital_id,service_code,service_name,unit,category_name,payer_type,price,currency,effective_from,effective_to,notes,status
1,DG05,Khám chức năng hô hấp,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG05,Khám chức năng hô hấp,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,DG06,Khám da liễu,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG06,Khám da liễu,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,ND98,Khám hậu môn-trực tràng,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,ND98,Khám hậu môn-trực tràng,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,DG10,Khám mắt,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG10,Khám mắt,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,DG12,Khám Tiết niệu,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG12,Khám Tiết niệu,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,DG13,Khám nội tiết,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG13,Khám nội tiết,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,DG14,Khám phổi,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG14,Khám phổi,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,DG15,Khám phụ khoa,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG15,Khám phụ khoa,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,DG19,Khám tai mũi họng,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG19,Khám tai mũi họng,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
1,DG20,Khám thần kinh,Lần,KHÁM BỆNH,TU_CHI_TRA,150000,VND,2024-01-01,,,1
1,DG20,Khám thần kinh,Lần,KHÁM BỆNH,BHYT,50600,VND,2024-01-01,,,1
