STT,	Mã hiệu,	Tên Dịch vụ,	ĐVT,	Giá Dịch vụ,	Giá BHYT 
 	 	KHÁM BỆNH	 	 	 
1	DG05	Khám chức năng hô hấp	Lần	150,000	50,600
2	DG06	Khám da liễu	Lần	150,000	50,600
3	ND98	Khám hậu môn-trực tràng	Lần	150,000	50,600
4	DG10	Khám mắt	Lần	150,000	50,600
5	DG12	Khám Tiết niệu	Lần	150,000	50,600
6	DG13	Khám nội tiết	Lần	150,000	50,600
7	DG14	Khám phổi	Lần	150,000	50,600
8	DG15	Khám phụ khoa	Lần	150,000	50,600
9	DG19	Khám tai mũi họng	Lần	150,000	50,600
10	DG20	Khám thần kinh	Lần	150,000	50,600
11	DG21	Khám tiêu hoá - gan mật	Lần	150,000	50,600
12	DG22	Khám tim mạch	Lần	150,000	50,600
13	DG25	Khám viêm gan	Lần	150,000	50,600
14	DG26	Khám xương khớp	Lần	150,000	50,600
15	DG29	Khám lồng ngực	Lần	150,000	50,600
16	DG46	Khám Nhi	Lần	150,000	50,600
17	DG56	Khám sức khỏe	Lần	200,000	 
18	DG58	Khám tư vấn tiêm ngừa	Lần	100,000	 
19	DG61	Khám tổng quát	Lần	150,000	 
20	DG62	Khám nội thận	Lần	150,000	50,600
21	DG63	Khám thai	Lần	150,000	50,600
22	DG80	Khám tổng quát (VIP)	Lần	600,000	 
23	DGE2	Khám nội cơ xương khớp	Lần	150,000	50,600
24	DGE4	Khám phục hồi chức năng	Lần	150,000	50,600
 	 	HỘI CHẨN	 	 	 
25	DO47	Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Nội)	Lần	550,000	200,000
26	DO35	Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Tai mũi họng)	Lần	550,000	200,000
27	DO37	Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Phụ sản)	Lần	550,000	200,000
28	DO40	Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Ngoại)	Lần	550,000	200,000
29	DO42	Hội chẩn ngoại viện (Hội chẩn ca bệnh khó, bệnh nặng, bệnh hiếm chuyên ngành Nội tiết)	Lần	550,000	200,000
30	DN17	Hội chẩn để xác định ca bệnh khó	Lần	500,000	 
 	 	CT-SCAN	 	 	 
31	ND91	Chụp CLVT hàm-mặt có tiêm thuốc cản quang (sọ + xoang) (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,950,000	663,400
32	ND92	Chụp CLVT sọ não không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,000,000	550,100
33	ND93	Chụp CLVT sọ não có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,240,000	663,400
34	ND94	Chụp CT-Scan vùng cổ [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,000,000	550,100
35	ND95	Chụp CT-Scan vùng cổ có thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,240,000	663,400
36	ND96	Chụp CLVT hàm-mặt không tiêm thuốc cản quang (xoang) [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,000,000	550,100
37	ND97	Chụp CLVT hàm-mặt có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,240,000	663,400
38	ND98	Chụp CLVT tai-xương đá không tiêm thuốc [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,000,000	1,000,000
39	ND99	Chụp CLVT tai-xương đá có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,240,000	1,240,000
40	NDA0	Chụp cắt lớp vi tính mạch máu chi trên có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang)	Lần	2,350,000	1,732,400
41	ND76	Chụp cắt lớp vi tính tạng khảo sát huyết động học khối u (CT perfusion) (chưa bao gồm thuốc cản quang)	Lần	2,580,000	1,732,400
42	ND80	Chụp cắt lớp vi tính động mạch chủ ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang)	Lần	2,250,000	1,732,400
43	ND81	Chụp cắt lớp vi tính tầng trên ổ bụng có khảo sát mạch các tạng (mạc treo) (chưa bao gồm thuốc cản quang)	Lần	2,200,000	1,732,400
44	ND83	Chụp cắt lớp vi tính động mạch phổi (chưa bao gồm thuốc cản quang)	Lần	2,100,000	1,732,400
45	ND84	Chụp cắt lớp vi tính động mạch chủ-chậu (chưa bao gồm thuốc cản quang)	Lần	2,240,000	1,732,400
46	ND85	Chụp cắt lớp vi tính động mạch vành, tim (chưa bao gồm thuốc cản quang)	Lần	2,450,000	1,732,400
47	ND66	Chụp cắt lớp vi tính xương chi không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,000,000	550,100
48	ND68	Chụp cắt lớp vi tính cột sống cổ không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,000,000	550,100
49	ND69	Chụp cắt lớp vi tính cột sống cổ có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,240,000	663,400
50	ND71	Chụp cắt lớp vi tính cột sống ngực có tiêm thuốc cản quang (chưa bao gồm thuốc cản quang) [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,240,000	663,400
51	ND72	Chụp cắt lớp vi tính cột sống thắt lưng không tiêm thuốc cản quang [BHYT thanh toán theo đơn giá 1-32 dãy]	Lần	1,000,000	550,100
 	 	SIÊU ÂM	 	 	 
52	MC72	Siêu âm Doppler tinh hoàn, mào tinh hoàn hai bên	Lần	400,000	89,300
53	MC73	Siêu âm ổ bụng	Lần	150,000	58,600
54	MC76	Siêu âm cơ phần mềm vùng cổ	Lần	150,000	58,600
